npi,sum_benes,dataset,metric,reason,sum_srvcs,profile_id,sum_payment_amount
1003031691,2479.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043667884,2725.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033322466,146546.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003088675,2857.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023005139,9604.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043570757,3266.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043581317,3913.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013076546,4859.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043225469,4011.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003088113,3209.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003804170,8775.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013992429,4887.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013989318,2978.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033180971,2935.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013288273,5244.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013932698,2653.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003059288,3321.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013098995,3513.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013101054,4376.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043343122,4341.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033141684,10638.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053322453,2768.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033113790,6751.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023010444,2597.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023060696,2624.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003019654,4116.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003201450,4462.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023150182,3505.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023371952,6227.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053343376,2709.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043221328,2716.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033760723,4050.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033313630,2764.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033431549,4409.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013950898,2643.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043214067,4110.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003889346,4865.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043248867,3003.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033640537,2505.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013917731,2925.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013954759,3312.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013997741,6626.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013909811,2538.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003873662,2622.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013463801,2577.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043304280,4789.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023106838,4337.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023093259,3570.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023539053,31105.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003822164,2995.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013000629,3157.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043253511,5236.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013913284,6589.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033125950,4111.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003918228,2798.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023302965,2803.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003145038,2672.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023471208,3894.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033180039,2709.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043506900,2668.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003869058,3833.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003857269,6574.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043304462,7686.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013002328,3624.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043270044,3205.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023635455,3055.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023023777,6310.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013983592,3127.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013999085,3125.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043749765,2634.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033151014,3510.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003045857,4360.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033215348,14245.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003877887,2458.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033377478,3878.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023011137,3812.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003930215,4120.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023033271,6494.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023455797,2729.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013966282,3178.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003305624,4112.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013913482,2525.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013030790,2710.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023170388,3002.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023097433,6020.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013171941,3680.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013197375,2607.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023329026,3054.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033105739,6027.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003838699,5266.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033407275,3335.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043453970,4144.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033371406,4545.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023112786,3733.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
